from,to,relationship,time,end,,
nicbur,Rlorenzadlonesszimmer,6,NA,x,,nicbur Rlorenzadlonesszimmer 6
heiwin,nicbur,1,NA,NA,,heiwin nicbur 1
karhau,nicbur,2,2011,2018,,karhau nicbur 2
joswol,Reisenbahn,5,NA,x,,joswol Reisenbahn 5
joswol,Reisenbahn,3,NA,x,,joswol Reisenbahn 3
hanreb,Rreberspflug,5,1996,x,,hanreb Rreberspflug 5
vinkli,hanreb,2,NA,NA,,vinkli hanreb 2
berdie,hanreb,2,NA,NA,,berdie hanreb 2
hanreb,Rwielandshöhe,6,NA,NA,,hanreb Rwielandshöhe 6
sebkau,Rkaupersrestaurantimkapellenhof,5,2010,x,,sebkau Rkaupersrestaurantimkapellenhof 5
sebkau,Rkaupersrestaurantimkapellenhof,3,2010,x,,sebkau Rkaupersrestaurantimkapellenhof 3
juaama,sebkau,2,NA,NA,,juaama sebkau 2
sebkau,Ramador,6,NA,2009,,sebkau Ramador 6
phihel,Rjungborn,3,2016,x,,phihel Rjungborn 3
dansch,phihel,2,2014,2016,,dansch phihel 2
micphi,Rphilipp,5,1998,x,,micphi Rphilipp 5
micphi,Rphilipp,3,1998,x,,micphi Rphilipp 3
frisch,micphi,1,NA,NA,,frisch micphi 1
gerwin,Rhirsch,5,1985,x,,gerwin Rhirsch 5
gerwin,Rhirsch,3,1985,x,,gerwin Rhirsch 3
maxmos,Raubergine,3,2012,x,,maxmos Raubergine 3
maxmos,Raloisdallmayrfinedining,6,2004,2004,,maxmos Raloisdallmayrfinedining 6
margam,maxmos,2,2006,2007,,margam maxmos 2
maxmos,Racquarello,6,2006,2007,,maxmos Racquarello 6
aledin,Rfünf,6,2014,2016,,aledin Rfünf 6
aledin,Rfünf,3,2017,x,,aledin Rfünf 3
andhet,Rdelice,3,2014,x,,andhet Rdelice 3
andhet,Rdelice,5,2014,x,,andhet Rdelice 5
berdie,andhet,2,2011,2013,,berdie andhet 2
fabhel,Rderzauberlehrling,3,2016,x,,fabhel Rderzauberlehrling 3
wolbec,Rbeckers,5,1997,x,,wolbec Rbeckers 5
wolbec,Rbeckers,3,1997,x,,wolbec Rbeckers 3
fabhel,Rbeckers,6,NA,NA,,fabhel Rbeckers 6
wolbec,fabhel,2,NA,NA,,wolbec fabhel 2
chrjür,fabhel,2,NA,NA,,chrjür fabhel 2
fabhel,Rvictorsfinediningbychristianbau,6,NA,NA,,fabhel Rvictorsfinediningbychristianbau 6
chrbau,fabhel,2,NA,NA,,chrbau fabhel 2
michup,Rhupperts,3,2014,x,,michup Rhupperts 3
michup,Rhupperts,5,2014,x,,michup Rhupperts 5
micoet,Roettingersrestaurant,3,2005,2023,,micoet Roettingersrestaurant 3
micoet,benben,2,2008,2008,,micoet benben 2
benben,Rritzigourmet,3,2018,x,,benben Rritzigourmet 3
benben,Roettingersrestaurant,6,2008,2008,,benben Roettingersrestaurant 6
ralkne,benben,2,2010,2012,,ralkne benben 2
benben,Rerbprinz,6,2010,2012,,benben Rerbprinz 6
holbod,benben,2,2015,2015,,holbod benben 2
benben,Rbodendorfs,6,2015,2015,,benben Rbodendorfs 6
vinkli,Rwielandshöhe,3,1991,2022,,vinkli Rwielandshöhe 3
vinkli,Rwielandshöhe,5,1991,x,,vinkli Rwielandshöhe 5
jörnet,Rwielandshöhe,3,2012,x,,jörnet Rwielandshöhe 3
vinkli,jörnet,2,2012,2022,,vinkli jörnet 2
felgab,Rkai3,3,2017,x,,felgab Rkai3 3
,,,,,,  
holbod,Rbodendorfs,3,2001,x,,holbod Rbodendorfs 3
holbod,Rlandhausscherrer,6,1989,1990,,holbod Rlandhausscherrer 6
fraber,Rgourmetrestaurantberlinskrone,3,2010,x,,fraber Rgourmetrestaurantberlinskrone 3
fraber,Rschlossberg,6,2007,2009,,fraber Rschlossberg 6
thoger,Roswaldsgourmetstube,3,2014,x,,thoger Roswaldsgourmetstube 3
thoger,Rschlossberg,6,2001,2007,,thoger Rschlossberg 6
denbrü,Rbodendorfs,3,2020,x,,denbrü Rbodendorfs 3
holbod,Rbodendorfs,5,2011,x,,holbod Rbodendorfs 5
fraber,Rgourmetrestaurantberlinskrone,6,2009,2010,,fraber Rgourmetrestaurantberlinskrone 6
thoger,Rlorenzadlonesszimmer,6,1998,2001,,thoger Rlorenzadlonesszimmer 6
lutnie,Rorangerie,3,1990,x,,lutnie Rorangerie 3
tholem,Rorangerie,3,NA,x,,tholem Rorangerie 3
lutnie,tholem,2,NA,x,,lutnie tholem 2
holbod,denbrü,2,2020,x,,holbod denbrü 2
wolbec,Rschwarzwaldstube,6,1994,1995,,wolbec Rschwarzwaldstube 6
aleoos,Rweinundtafelhaus,5,2002,x,,aleoos Rweinundtafelhaus 5
heilac,Ranima,5,2016,x,,heilac Ranima 5
heilac,Rwaldhotelsonnora,6,2013,2013,,heilac Rwaldhotelsonnora 6
heilac,RopusV,6,2014,2017,,heilac RopusV 6
dancor,Rschlossfilseck,3,2012,x,,dancor Rschlossfilseck 3
klabud,Rseestern,3,2018,x,,klabud Rseestern 3
klabud,Rlandhausscherrer,6,NA,NA,,klabud Rlandhausscherrer 6
klabud,Rrestaurantbareiss,6,NA,NA,,klabud Rrestaurantbareiss 6
klabud,Rspeisemeisterei,6,NA,NA,,klabud Rspeisemeisterei 6
klabud,benwit,2,2022,x,,klabud benwit 2
benwit,Rseestern,3,2022,x,,benwit Rseestern 3
benwit,Rwaldhotelsonnora,6,NA,NA,,benwit Rwaldhotelsonnora 6
benwit,Rzweisinnmeiersfinedining,6,2018,2021,,benwit Rzweisinnmeiersfinedining 6
benwit,Rsiedepunkt,3,2021,2022,,benwit Rsiedepunkt 3
benwit,Ranthonyskitchen,3,NA,2018,,benwit Ranthonyskitchen 3
henfri,Rsiedepunkt,3,2022,x,,henfri Rsiedepunkt 3
henfri,Rjellyfish,6,2015,2016,,henfri Rjellyfish 6
tomwic,Rkulmeckbytomwickboldt,5,2011,x,,tomwic Rkulmeckbytomwickboldt 5
tomwic,Rlandhausfeckl,6,NA,NA,,tomwic Rlandhausfeckl 6
tomwic,Rtheoroom,3,2017,2019,,tomwic Rtheoroom 3
andkäh,Rtheoroom,3,2019,x,,andkäh Rtheoroom 3
andkäh,Rtheoroom,6,NA,2019,,andkäh Rtheoroom 6
sterug,Rlammrosswag,3,2001,2002,,sterug Rlammrosswag 3
sterug,Rlammrosswag,5,2002,x,,sterug Rlammrosswag 5
sasste,Rhausstemberg,6,2003,2004,,sasste Rhausstemberg 6
sasste,Rhausstemberg,3,2004,x,,sasste Rhausstemberg 3
chrbau,Rschwarzeradler,3,2017,x,,chrbau Rschwarzeradler 3
corfis,Rweinstock,3,2021,x,,corfis Rweinstock 3
corfis,Rrestaurantüberfahrtchristianjürgens,6,2015,2018,,corfis Rrestaurantüberfahrtchristianjürgens 6
berbac,Rbachofer,5,2003,x,,berbac Rbachofer 5
berbac,Rwielandshöhe,6,NA,NA,,berbac Rwielandshöhe 6
cedsch,Rschwitzersgourmetrestaurant,3,2014,x,,cedsch Rschwitzersgourmetrestaurant 3
cedsch,Rrestaurantbareiss,6,NA,2014,,cedsch Rrestaurantbareiss 6
erimet,Rgasthofkrone,6,2014,2016,,erimet Rgasthofkrone 6
erimet,Rgasthofkrone,3,2016,x,,erimet Rgasthofkrone 3
erimet,Rlandhausfeckl,6,NA,NA,,erimet Rlandhausfeckl 6
micrei,Rjohanns,3,2013,x,,micrei Rjohanns 3
jürkoc,Rlaurentius,5,1991,x,,jürkoc Rlaurentius 5
sebsyr,Rzeitgeist,3,2014,x,,sebsyr Rzeitgeist 3
holste,Radmiral,3,2014,x,,holste Radmiral 3
holste,Raltepfarrey,6,2003,2005,,holste Raltepfarrey 6
holste,Rgutlärchenhof,6,2012,2013,,holste Rgutlärchenhof 6
thohüb,Ralteüberfahrt,3,2016,x,,thohüb Ralteüberfahrt 3
thohüb,Rfacil,6,NA,NA,,thohüb Rfacil 6
robpie,Rpietsch,5,2013,x,,robpie Rpietsch 5
robpie,Rzeitwerk,5,2019,x,,robpie Rzeitwerk 5
mickam,Rente,6,2002,2006,,mickam Rente 6
mickam,Rente,3,2006,x,,mickam Rente 3
alehop,Rshiraz,3,2020,x,,alehop Rshiraz 3
alehop,Rrestaurantüberfahrtchristianjürgens,6,NA,NA,,alehop Rrestaurantüberfahrtchristianjürgens 6
robhof,Rkuno1408,6,2020,2023,,robhof Rkuno1408 6
robhof,Rkuno1408,3,2023,x,,robhof Rkuno1408 3
patgri,Rclararestaurantimkaisersaal,6,2020,2022,,patgri Rclararestaurantimkaisersaal 6
patgri,Rkuno1408,3,2023,x,,patgri Rkuno1408 3
patgri,robhof,2,2023,x,,patgri robhof 2
jürkop,Rlandhausköpp,5,1991,x,,jürkop Rlandhausköpp 5
jürkop,Rmühlenhelle,6,NA,NA,,jürkop Rmühlenhelle 6
timext,Rapicius,3,2014,x,,timext Rapicius 3
timext,Rschwarzwaldstube,6,2009,2009,,timext Rschwarzwaldstube 6
timext,Rthetablekevinfehling,6,2017,2017,,timext Rthetablekevinfehling 6
timtan,Rthenoname,3,2021,x,,timtan Rthenoname 3
aljfüt,Rsäpfle,6,2021,2022,,aljfüt Rsäpfle 6
aljfüt,Rsäpfle,3,2022,2023,,aljfüt Rsäpfle 3
aljfüt,Rnobelhartundschmutzig,6,2023,x,,aljfüt Rnobelhartundschmutzig 6
,,,,,,  
marsau,Rhirschgasselegourmet,3,2007,2023,,marsau Rhirschgasselegourmet 3
marsau,Rwaldhotelsonnora,6,NA,2007,,marsau Rwaldhotelsonnora 6
erischw,Rschwingshacklesskulturgourmet,3,1994,1995,,erischw Rschwingshacklesskulturgourmet 3
erischw,Raubergine,6,2006,2023,,erischw Raubergine 6
jocfec,Rsanmartino,3,2014,2023,,jocfec Rsanmartino 3
grerup,Rmarly,3,1999,2023,,grerup Rmarly 3
grerup,Rmarly,5,1999,2023,,grerup Rmarly 5
benpfe,Rrestauranturgestein,3,NA,2017,,benpfe Rrestauranturgestein 3
hedrin,Rrestauranturgestein,3,2017,2023,,hedrin Rrestauranturgestein 3
hedrin,Rrestauranturgestein,5,2009,x,,hedrin Rrestauranturgestein 5
henwei,Rlecerf,6,2003,2008,,henwei Rlecerf 6
guirig,Rrestaurant1797,3,NA,2023,,guirig Rrestaurant1797 3
maigeh,Raltepfarrey,3,2013,2023,,maigeh Raltepfarrey 3
maigeh,Rgutshausstolpe,6,2007,2010,,maigeh Rgutshausstolpe 6
petsch,Rhirschen,6,1992,1993,,petsch Rhirschen 6
petsch,Rwaldhotelsonnora,6,1994,1995,,petsch Rwaldhotelsonnora 6
petsch,Rimschiffchen,,1999,,,petsch Rimschiffchen 
petsch,Rfalco,3,2005,2023,,petsch Rfalco 3
petsch,Rfalco,5,2005,2023,,petsch Rfalco 5
,,,,,,  
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
janhar,janhar,,,,,
Rjan,Rjan,,,,,
Rgästehausklauserfort,Rgästehausklauserfort,,,,,
klaerf,klaerf,,,,,
sveelv,sveelv,,,,,
Raqua,Raqua,,,,,
Ratelier,Ratelier,,,,,
Rschwarzwaldstube,Rschwarzwaldstube,,,,,
harwoh,harwoh,,,,,
tormic,tormic,,,,,
eckwit,eckwit,,,,,
pauboc,pauboc,,,,,
heiwin,heiwin,,,,,
clalum,clalum,,,,,
Rrestaurantbareiss,Rrestaurantbareiss,,,,,
johkin,johkin,,,,,
marmül,marmül,,,,,
Rrutz,Rrutz,,,,,
cleram,cleram,,,,,
Rwaldhotelsonnora,Rwaldhotelsonnora,,,,,
kevfeh,kevfeh,,,,,
Rthetablekevinfehling,Rthetablekevinfehling,,,,,
chrbau,chrbau,,,,,
Rvictorsfinediningbychristianbau,Rvictorsfinediningbychristianbau,,,,,
thosch,thosch,,,,,
Rschanzrestaurant,Rschanzrestaurant,,,,,
helthi,helthi,,,,,
chrjür,chrjür,,,,,
Rrestaurantüberfahrtchristianjürgens,Rrestaurantüberfahrtchristianjürgens,,,,,
dansch,dansch,,,,,
Rlajordan,Rlajordan,,,,,
julsto,julsto,,,,,
Rlakeside,Rlakeside,,,,,
Raloisdallmayrfinedining,Raloisdallmayrfinedining,,,,,
bengal,bengal,,,,,
silnic,silnic,,,,,
Rvotum,Rvotum,,,,,
thoben,thoben,,,,,
Rsein,Rsein,,,,,
rosost,rosost,,,,,
Rcoeurdartichaut,Rcoeurdartichaut,,,,,
fremor,fremor,,,,,
thokel,thokel,,,,,
Rgourmetrestaurantdichter,Rgourmetrestaurantdichter,,,,,
hanhaa,hanhaa,,,,,
nicnus,nicnus,,,,,
Rmühle,Rmühle,,,,,
yannoa,yannoa,,,,,
Rpurs,Rpurs,,,,,
chrgrü,chrgrü,,,,,
Raugust,Raugust,,,,,
Rvendome,Rvendome,,,,,
joawis,joawis,,,,,
Rcodadessertdining,Rcodadessertdining,,,,,
renfra,renfra,,,,,
joager,joager,,,,,
Rfacil,Rfacil,,,,,
Rhorvath,Rhorvath,,,,,
sebfra,sebfra,,,,,
Rlorenzadlonesszimmer,Rlorenzadlonesszimmer,,,,,
retbrä,retbrä,,,,,
timrau,timrau,,,,,
Rtimraue,Rtimraue,,,,,
manulr,manulr,,,,,
Röschnoir,Röschnoir,,,,,
jocbus,jocbus,,,,,
Rgustav,Rgustav,,,,,
andkro,andkro,,,,,
Rlafleur,Rlafleur,,,,,
dirlut,dirlut,,,,,
Rmeiereidirkluther,Rmeiereidirkluther,,,,,
edisig,edisig,,,,,
Ressenz,Ressenz,,,,,
thoimb,thoimb,,,,,
R100200kitchen,R100200kitchen,,,,,
matfer,matfer,,,,,
Rbianc,Rbianc,,,,,
Rhaerlin,Rhaerlin,,,,,
chrrüf,chrrüf,,,,,
Rjante,Rjante,,,,,
tonhoh,tonhoh,,,,,
erimen,erimen,,,,,
Rlemoissonnier,Rlemoissonnier,,,,,
dangot,dangot,,,,,
Roxklee,Roxklee,,,,,
dirhob,dirhob,,,,,
Rophelia,Rophelia,,,,,
chrrai,chrrai,,,,,
Rlucedoro,Rlucedoro,,,,,
dompau,dompau,,,,,
Ropusv,Ropusv,,,,,
antgsc,antgsc,,,,,
bobbrä,bobbrä,,,,,
Resszimmer,Resszimmer,,,,,
Rtantris,Rtantris,,,,,
benchu,benchu,,,,,
tohnak,tohnak,,,,,
Rtohruinderschreiberei,Rtohruinderschreiberei,,,,,
chrbin,chrbin,,,,,
Rsteinheuersrestaurantzuraltenpost,Rsteinheuersrestaurantzuraltenpost,,,,,
sebobe,sebobe,,,,,
Robendorferseisvogel,Robendorferseisvogel,,,,,
yveoll,yveoll,,,,,
Ressigbrätlein,Ressigbrätlein,,,,,
felsch,felsch,,,,,
Retz,Retz,,,,,
Rlepavillon,Rlepavillon,,,,,
marher,marher,,,,,
pethag,pethag,,,,,
Rammolitethelighthouserestaurant,Rammolitethelighthouserestaurant,,,,,
chrfle,chrfle,,,,,
silfab,silfab,,,,,
Resplanade,Resplanade,,,,,
sebsan,sebsan,,,,,
Rlouisrestaurant,Rlouisrestaurant,,,,,
stegsc,stegsc,,,,,
Rspeisemeisterei,Rspeisemeisterei,,,,,
douste,douste,,,,,
Rhirschen,Rhirschen,,,,,
Rsölringhof,Rsölringhof,,,,,
janber,janber,,,,,
frakel,frakel,,,,,
chrsch,chrsch,,,,,
Rcourtier,Rcourtier,,,,,
aleher,aleher,,,,,
tobbät,tobbät,,,,,
Raurabyalexanderherrmanntobiasbätz,Raurabyalexanderherrmanntobiasbätz,,,,,
Rlecerf,Rlecerf,,,,,
Rthenoname,Rthenoname,,,,,
timtan,timtan,,,,,
borrom,borrom,,,,,
zsofod,zsofod,,,,,
Rsolodu,Rsolodu,,,,,
dansch2,dansch2,,,,,
Rmasters,Rmasters,,,,,
jasgro,jasgro,,,,,
Rdieburg,Rdieburg,,,,,
benkri,benkri,,,,,
Rpinkpepper,Rpinkpepper,,,,,
markaz,markaz,,,,,
Rdasgarboimlöwen,Rdasgarboimlöwen,,,,,
Rclararestaurantimkaisersaal,Rclararestaurantimkaisersaal,,,,,
chrwei,chrwei,,,,,
jürket,jürket,,,,,
Rkettnerskamota,Rkettnerskamota,,,,,
patlöh,patlöh,,,,,
Rbidlabu,Rbidlabu,,,,,
manwim,manwim,,,,,
Rgourmetrestaurantimkarner,Rgourmetrestaurantimkarner,,,,,
henwei,henwei,,,,,
Rcolombirestaurant,Rcolombirestaurant,,,,,
sveusi,sveusi,,,,,
frecam,frecam,,,,,
Reichhalde,Reichhalde,,,,,
Rwolfshöhle,Rwolfshöhle,,,,,
marfau,marfau,,,,,
kevbür,kevbür,,,,,
Rhaebel,Rhaebel,,,,,
davwei,davwei,,,,,
Rverbene,Rverbene,,,,,
julkom,julkom,,,,,
Rsahilatherestaurant,Rsahilatherestaurant,,,,,
klasch,klasch,,,,,
Rkuultivo,Rkuultivo,,,,,
tomels,tomels,,,,,
Riko,Riko,,,,,
Rmarburgeresszimmer,Rmarburgeresszimmer,,,,,
denfei,denfei,,,,,
harbor,harbor,,,,,
Rborst,Rborst,,,,,
maxbor,maxbor,,,,,
danbod,danbod,,,,,
Rbrothers,Rbrothers,,,,,
Rmuralfarmhouse,Rmuralfarmhouse,,,,,
maxhub,maxhub,,,,,
Rbok,Rbok,,,,,
laukux,laukux,,,,,
karspi,karspi,,,,,
Rspitzner,Rspitzner,,,,,
renste,renste,,,,,
Rtisane,Rtisane,,,,,
domwac,domwac,,,,,
Rwachterfoodbar,Rwachterfoodbar,,,,,
julrei,julrei,,,,,
Resszimmerimoberschwäbischenhof,Resszimmerimoberschwäbischenhof,,,,,
danmäs,danmäs,,,,,
Rhegeleins,Rhegeleins,,,,,
gersch,gersch,,,,,
Rbagatelle,Rbagatelle,,,,,
alimei,alimei,,,,,
Rbibraud,Rbibraud,,,,,
benpfe,benpfe,,,,,
Rintense,Rintense,,,,,
maraku,maraku,,,,,
Rmarkos,Rmarkos,,,,,
domale,domale,,,,,
Rgasthofalex,Rgasthofalex,,,,,
nikber,nikber,,,,,
Rbonvivant,Rbonvivant,,,,,
andsch,andsch,,,,,
Rlabecasse,Rlabecasse,,,,,
Rsanktbenedikt,Rsanktbenedikt,,,,,
maxkre,maxkre,,,,,
Rimschiffchen,Rimschiffchen,,,,,
jeabou,jeabou,,,,,
Rschattbuch,Rschattbuch,,,,,
chrmar,chrmar,,,,,
Rschwabenstube,Rschwabenstube,,,,,
maxspe,maxspe,,,,,
Rsoulfood,Rsoulfood,,,,,
miclau,miclau,,,,,
chrheß,chrheß,,,,,
Ralteliebe,Ralteliebe,,,,,
benmit,benmit,,,,,
Rsartory,Rsartory,,,,,
simlan,simlan,,,,,
Rlejardindefrance,Rlejardindefrance,,,,,
steber,steber,,,,,
Rmalteshiddenkitchen,Rmalteshiddenkitchen,,,,,
malkuh,malkuh,,,,,
Rgasthauszumraben,Rgasthauszumraben,,,,,
stedis,stedis,,,,,
R1789,R1789,,,,,
flosto,flosto,,,,,
Rschlossberg,Rschlossberg,,,,,
jörsac,jörsac,,,,,
nicsac,nicsac,,,,,
,,,,,,
Rpur,Rpur,,,,,
ulrhei,ulrhei,,,,,
Rbandolsurmer,Rbandolsurmer,,,,,
andsau,andsau,,,,,
Rbieberbau,Rbieberbau,,,,,
stepgar,stepgar,,,,,
jeamat,jeamat,,,,,
Rbricole,Rbricole,,,,,
stezei,stezei,,,,,
Rcookiescream,Rcookiescream,,,,,
nichah,nichah,,,,,
Rcordo,Rcordo,,,,,
yansto,yansto,,,,,
Rernst,Rernst,,,,,
dylwat,dylwat,,,,,
Rfaelt,Rfaelt,,,,,
bjosaw,bjosaw,,,,,
mickem,mickem,,,,,
chrsom,chrsom,,,,,
Rgolvet,Rgolvet,,,,,
jonzoe,jonzoe,,,,,
janrze,janrze,,,,,
Rhugos,Rhugos,,,,,
ebelan,ebelan,,,,,
Rirmaladouce,Rirmaladouce,,,,,
fracon,fracon,,,,,
Rnobelhartundschmutzig,Rnobelhartundschmutzig,,,,,
micschä,micschä,,,,,
Rrestaurantvillamerton,Rrestaurantvillamerton,,,,,
phigia,phigia,,,,,
Rprism,Rprism,,,,,
galmos,galmos,,,,,
Rrichard,Rrichard,,,,,
Rskykitchen,Rskykitchen,,,,,
saskur,saskur,,,,,
Rtuluslotrek,Rtuluslotrek,,,,,
maxstr,maxstr,,,,,
Rmaerz,Rmaerz,,,,,
benmae,benmae,,,,,
Rhämmerlesrestaurantbarrique,Rhämmerlesrestaurantbarrique,,,,,
clihae,clihae,,,,,
Rhalbedelsgasthaus,Rhalbedelsgasthaus,,,,,
raihal,raihal,,,,,
Ryunico,Ryunico,,,,,
chrstu,chrstu,,,,,
Rsterneck,Rsterneck,,,,,
marren,marren,,,,,
Rmaintowerrestaurantundlounge,Rmaintowerrestaurantundlounge,,,,,
marweg,marweg,,,,,
Rox,Rox,,,,,
davrin,davrin,,,,,
Rkuchersgourmet,Rkuchersgourmet,,,,,
flokuc,flokuc,,,,,
Rkook36,Rkook36,,,,,
dankle,dankle,,,,,
steneu,steneu,,,,,
feljar,feljar,,,,,
Rbjörnsox,Rbjörnsox,,,,,
bjölei,bjölei,,,,,
Rjandiekjobstrestaurant,Rjandiekjobstrestaurant,,,,,
jandie,jandie,,,,,
Rostseelounge,Rostseelounge,,,,,
matsto,matsto,,,,,
andmün,andmün,,,,,
andbei,andbei,,,,,
Rfriedrichfranz,Rfriedrichfranz,,,,,
ronsie,ronsie,,,,,
Rgoldeneranker,Rgoldeneranker,,,,,
bjöfrei,bjöfrei,,,,,
Rrosin,Rrosin,,,,,
fraros,fraros,,,,,
Rgrammonsrestaurant,Rgrammonsrestaurant,,,,,
dirgram,dirgram,,,,,
Rthestage,Rthestage,,,,,
micdyl,micdyl,,,,,
geomim,geomim,,,,,
Relements,Relements,,,,,
stemieß,stemieß,,,,,
Rgenussatelier,Rgenussatelier,,,,,
marblo,marblo,,,,,
Rhummelsgourmetstube,Rhummelsgourmetstube,,,,,
stefhum,stefhum,,,,,
Rfalconera,Rfalconera,,,,,
Rmodbysvennöthel,Rmodbysvennöthel,,,,,
svenoe,svenoe,,,,,
R1876danieldalben,R1876danieldalben,,,,,
dandal,dandal,,,,,
Ragatas,Ragatas,,,,,
marfoe,marfoe,,,,,
Rdrkosch,Rdrkosch,,,,,
voldrk,voldrk,,,,,
Rleflair,Rleflair,,,,,
dancer,dancer,,,,,
yosnag,yosnag,,,,,
Rphoenix,Rphoenix,,,,,
phiwol,phiwol,,,,,
Ryoshibynagaya,Ryoshibynagaya,,,,,
Rtraube,Rtraube,,,,,
brwaw,brwaw,,,,,
Rjean,Rjean,,,,,
johfra,johfra,,,,,
Rmerklesrestaurant,Rmerklesrestaurant,,,,,
thomer,thomer,,,,,
Rtroyka,Rtroyka,,,,,
alewul,alewul,,,,,
markok,markok,,,,,
Rhannappel,Rhannappel,,,,,
tobwey,tobwey,,,,,
Rschote,Rschote,,,,,
nelmue,nelmue,,,,,
Rbembergshäuschen,Rbembergshäuschen,,,,,
filczm,filczm,,,,,
Ralteschuleklassenzimmer,Ralteschuleklassenzimmer,,,,,
kaylur,kaylur,,,,,
Rdasgrace,Rdasgrace,,,,,
quibru,quibru,,,,,
Raltwyk,Raltwyk,,,,,
rendit,rendit,,,,,
Rphilippsoldan,Rphilippsoldan,,,,,
eriarn,eriarn,,,,,
Rcarmelogreco,Rcarmelogreco,,,,,
benrus,benrus,,,,,
cargre,cargre,,,,,
Rernosbistro,Rernosbistro,,,,,
valmat,valmat,,,,,
Rmasajapanesecuisine,Rmasajapanesecuisine,,,,,
masoae,masoae,,,,,
Rsevenswans,Rsevenswans,,,,,
ricsaw,ricsaw,,,,,
Rweinsinn,Rweinsinn,,,,,
danple,danple,,,,,
Rmichaelsleitenberg,Rmichaelsleitenberg,,,,,
micschl,micschl,,,,,
Rgenießerstube,Rgenießerstube,,,,,
danrau,danrau,,,,,
Rchristianandfriendstastekitchen,Rchristianandfriendstastekitchen,,,,,
chrste,chrste,,,,,
Rwernersrestaurant,Rwernersrestaurant,,,,,
edmsch,edmsch,,,,,
Reckert,Reckert,,,,,
nicwied,nicwied,,,,,
Rmühlenhelle,Rmühlenhelle,,,,,
micque,micque,,,,,
Rspeiseberg,Rspeiseberg,,,,,
Rratsstuben,Rratsstuben,,,,,
dangeo,dangeo,,,,,
Rjellyfish,Rjellyfish,,,,,
stefät,stefät,,,,,
heiweh,heiweh,,,,,
Rlandhausscherrer,Rlandhausscherrer,,,,,
wahnou,wahnou,,,,,
Rpiment,Rpiment,,,,,
mauost,mauost,,,,,
Rzeik,Rzeik,,,,,
thowoh,thowoh,,,,,
Rhandwerk,Rhandwerk,,,,,
robräd,robräd,,,,,
Roben,Roben,,,,,
petnie,petnie,,,,,
Rlavalleeverte,Rlavalleeverte,,,,,
conkai,conkai,,,,,
Rletable,Rletable,,,,,
flovog,flovog,,,,,
Rcamersschlossrestaurant,Rcamersschlossrestaurant,,,,,
Rchevalblanc,Rchevalblanc,,,,,
Igoyak,Igoyak,,,,,
Rtawayamafine,Rtawayamafine,,,,,
joamal,joamal,,,,,
Rmalathounis,Rmalathounis,,,,,
thobell,thobell,,,,,
Rschlossloersfeld,Rschlossloersfeld,,,,,
dirsch,dirsch,,,,,
Rweinschänkeschlossgroenesteyn,Rweinschänkeschlossgroenesteyn,,,,,
chrgra,chrgra,,,,,
Rchristiansrestaurantgasthofgrainer,Rchristiansrestaurantgasthofgrainer,,,,,
mansch,mansch,,,,,
Rschwarzgourmet,Rschwarzgourmet,,,,,
fredes,fredes,,,,,
Rlaudensacksgourmetrestaurant,Rlaudensacksgourmetrestaurant,,,,,
frasey,frasey,,,,,
Rgotthardts,Rgotthardts,,,,,
miksch,miksch,,,,,
Rschillersmanufaktur,Rschillersmanufaktur,,,,,
robcar,robcar,,,,,
Ralfredo,Ralfredo,,,,,
eriwer,eriwer,,,,,
Rastrein,Rastrein,,,,,
marrad,marrad,,,,,
Rlacuisinerademacher,Rlacuisinerademacher,,,,,
leohof,leohof,,,,,
Rlasociete,Rlasociete,,,,,
tobbec,tobbec,,,,,
janmai,janmai,,,,,
Rmaibeck,Rmaibeck,,,,,
maxlor,maxlor,,,,,
Rmaximilianlorenz,Rmaximilianlorenz,,,,,
sonbau,sonbau,,,,,
erische,erische,,,,,
Rneobiota,Rneobiota,,,,,
enrsab,enrsab,,,,,
Rpottkind,Rpottkind,,,,,
mirgau,mirgau,,,,,
Rtaku,Rtaku,,,,,
tholös,tholös,,,,,
Rzurtant,Rzurtant,,,,,
andwid,andwid,,,,,
Rursprung,Rursprung,,,,,
stebra,stebra,,,,,
Rleosbystephanbrandl,Rleosbystephanbrandl,,,,,
raizei,raizei,,,,,
Richweißeinhausamsee,Richweißeinhausamsee,,,,,
jochel,jochel,,,,,
frihel,frihel,,,,,
Rstorchen,Rstorchen,,,,,
danfeh,danfeh,,,,,
Radler,Radler,,,,,
rolpie,rolpie,,,,,
Rseoküchenhandwerk,Rseoküchenhandwerk,,,,,
hanhäg,hanhäg,,,,,
Rgasthofzumbad,Rgasthofzumbad,,,,,
margri,margri,,,,,
Rkeidenzellerhof,Rkeidenzellerhof,,,,,
lisang,lisang,,,,,
andrei,andrei,,,,,
Rfrieda,Rfrieda,,,,,
detsch,detsch,,,,,
Rstadtpfeiffer,Rstadtpfeiffer,,,,,
alehoh,alehoh,,,,,
R360°,R360°,,,,,
tonneu,tonneu,,,,,
Rvillino,Rvillino,,,,,
roypet,roypet,,,,,
Rwullenwever,Rwullenwever,,,,,
tobsch,tobsch,,,,,
Rfavoriterestaurant,Rfavoriterestaurant,,,,,
phiste,phiste,,,,,
Rsteinstraube,Rsteinstraube,,,,,
erischu,erischu,,,,,
Rdoblers,Rdoblers,,,,,
antsar,antsar,,,,,
