from,to,relationship,time,end,,
chrbin,Rsteinheuersrestaurantzuraltenpost,3,2015,x,,chrbin Rsteinheuersrestaurantzuraltenpost 3
chrbin,Rsteinheuersrestaurantzuraltenpost,6,2008,2015,,chrbin Rsteinheuersrestaurantzuraltenpost 6
sebobe,Rfalco,6,NA,NA,,sebobe Rfalco 6
petsch,sebobe,2,NA,NA,,petsch sebobe 2
sebobe,Rzweisinnmeiersfinedining,6,2016,NA,,sebobe Rzweisinnmeiersfinedining 6
stemei,sebobe,2,2016,NA,,stemei sebobe 2
sebobe,Robendorferseisvogel,3,2021,x,,sebobe Robendorferseisvogel 3
sebobe,Robendorferseisvogel,5,2022,x,,sebobe Robendorferseisvogel 5
yveoll,Ressigbrätlein,3,1997,x,,yveoll Ressigbrätlein 3
felsch,Retz,3,2021,x,,felsch Retz 3
felsch,Retz,5,2021,x,,felsch Retz 5
marher,Rlepavillon,3,1991,x,,marher Rlepavillon 3
Rlepavillon,marher,4,1982,NA,,Rlepavillon marher 4
pethag,Rammolitethelighthouserestaurant,3,2012,x,,pethag Rammolitethelighthouserestaurant 3
pethag,Rschwarzwaldstube,6,1997,NA,,pethag Rschwarzwaldstube 6
harwoh,pethag,2,1997,NA,,harwoh pethag 2
pethag,Rchevalblanc,6,NA,NA,,pethag Rchevalblanc 6
silfab,Resplanade,3,2017,x,,silfab Resplanade 3
silfab,Rweinundtafelhaus,6,2007,2008,,silfab Rweinundtafelhaus 6
aleoos,silfab,2,2007,2008,,aleoos silfab 2
silfab,Rwaldhotelsonnora,6,2008,2010,,silfab Rwaldhotelsonnora 6
helthi,silfab,2,2008,2010,,helthi silfab 2
heiwin,silfab,2,2010,2011,,heiwin silfab 2
silfab,Rgästehausklauserfort,6,2011,2017,,silfab Rgästehausklauserfort 6
klaerf,silfab,2,2011,2017,,klaerf silfab 2
klaerf,Rgästehausklauserfort,3,2002,x,,klaerf Rgästehausklauserfort 3
klaerf,Rgästehausklauserfort,5,2002,x,,klaerf Rgästehausklauserfort 5
klaerf,Rrestaurantbareiss,6,1992,1993,,klaerf Rrestaurantbareiss 6
clalum,klaerf,2,1992,1993,,clalum klaerf 2
klaerf,Rschwarzwaldstube,6,1993,1994,,klaerf Rschwarzwaldstube 6
harwoh,klaerf,2,1993,1994,,harwoh klaerf 2
sebsan,Rlouisrestaurant,3,2023,x,,sebsan Rlouisrestaurant 3
sebsan,Rlecerf,6,NA,NA,,sebsan Rlecerf 6
borrom,sebsan,2,NA,NA,,borrom sebsan 2
sebsan,Rrüsselslandhaus,6,2022,2023,,sebsan Rrüsselslandhaus 6
harrüs,sebsan,2,2022,2023,,harrüs sebsan 2
stegsc,Rspeisemeisterei,3,2016,x,,stegsc Rspeisemeisterei 3
douste,Rhirschen,3,1998,x,,douste Rhirschen 3
douste,Rhirschen,5,2008,x,,douste Rhirschen 5
Rhirschen,douste,4,NA,NA,,Rhirschen douste 4
harwoh,douste,2,NA,NA,,harwoh douste 2
douste,Rschwarzwaldstube,6,NA,NA,,douste Rschwarzwaldstube 6
janber,Rsölringhof,3,2013,x,,janber Rsölringhof 3
johkin,janber,2,2013,2022,,johkin janber 2
johkin,Rsölringhof,3,2000,,,johkin Rsölringhof 3
johkin,Rsölringhof,5,2000,2022,,johkin Rsölringhof 5
frakel,johkin,2,1983,1984,,frakel johkin 2
johkin,Rhugos,6,1986,1987,,johkin Rhugos 6
janber,Rsölringhof,6,2009,2013,,janber Rsölringhof 6
pauboc,frakel,1,NA,NA,,pauboc frakel 1
chrsch,Rcourtier,3,2016,x,,chrsch Rcourtier 3
harwoh,chrsch,2,1998,2000,,harwoh chrsch 2
chrsch,Rschwarzwaldstube,6,1998,2000,,chrsch Rschwarzwaldstube 6
aleher,Raurabyalexanderherrmanntobiasbätz,3,1996,x,,aleher Raurabyalexanderherrmanntobiasbätz 3
aleher,Raurabyalexanderherrmanntobiasbätz,5,NA,NA,,aleher Raurabyalexanderherrmanntobiasbätz 5
