id,name,type,sex,michelin_rating ,nationality ,county,alive
Rmaximilianlorenz,Restaurant Maximilian Lorenz,restaurant,NA,1,NA,nw,NA
sonbau,Sonja Baumann,chef,1,1,deutsch,NA,1
erische,Erik Scheffler,chef,2,1,deutsch,NA,1
Rneobiota,NeoBiota,restaurant,NA,1,NA,nw,NA
enrsab,Enrico Sablotny,chef,2,1,deutsch,NA,1
Rpottkind,Pottkind,restaurant,NA,1,NA,nw,NA
mirgau,Mirko Gaul,chef,2,1,deutsch,NA,1
Rtaku,Taku,restaurant,NA,1,NA,nw,NA
tholös,Thomas Lösche,chef,2,1,deutsch,NA,1
Rzurtant,Zur Tant,restaurant,NA,1,NA,nw,NA
andwid,Andreas Widmann,chef,2,1,deutsch,NA,1
Rursprung,Ursprung,restaurant,NA,1,NA,bw,NA
stebra,Stephan Brandl,chef,2,1,deutsch,NA,1
Rleosbystephanbrandl,Leos by Stephan Brandl,restaurant,NA,1,NA,by,NA
raizei,Raik Zeigner,chef,2,1,deutsch,NA,1
Richweißeinhausamsee,Ich weiß ein Haus am See,restaurant,NA,1,NA,mv,NA
jochel,Jochen Helfesrieder,chef,2,1,deutsch,NA,1
frihel,Fritz Helfesrieder,chef,2,1,deutsch,NA,1
Rstorchen,Storchen,restaurant,NA,1,NA,bw,NA
danfeh,Daniel Fehrenbacher,chef,2,1,deutsch,NA,1
Radler,Adler,restaurant,NA,1,NA,bw,NA
rolpie,Roland Pieber,chef,2,1,deutsch,NA,1
Rseoküchenhandwerk,SEO Küchenhandwerk,restaurant,NA,1,NA,bw,NA
hanhäg,Hans Häge,chef,2,1,deutsch,NA,1
Rgasthofzumbad,Gasthof zum Bad,restaurant,NA,1,NA,bw,NA
margri,Martin Grimmer,chef,2,1,deutsch,NA,1
Rkeidenzellerhof,Keidenzeller Hof,restaurant,NA,1,NA,by,NA
lisang,Lisa Angermann,chef,1,1,deutsch,NA,1
andrei,Andreas Reinke,chef,2,1,deutsch,NA,1
Rfrieda,Frieda,restaurant,NA,1,NA,sn,NA
detsch,Detlef Schlegel,chef,2,1,deutsch,NA,1
Rstadtpfeiffer,Stadtpfeiffer,restaurant,NA,1,NA,sn,NA
alehoh,Alexander Hohlwein,chef,2,1,deutsch,NA,1
R360°,360°,restaurant,NA,1,NA,he,NA
tonneu,Toni Neumann,chef,2,1,deutsch,NA,1
Rvillino,Villino,restaurant,NA,1,NA,by,NA
roypet,Roy Petermann,chef,2,1,deutsch,NA,1
Rwullenwever,Wullenwever,restaurant,NA,1,NA,sh,NA
tobsch,Tobias Schmitt,chef,2,1,deutsch,NA,1
Rfavoriterestaurant,FAVORITE restaurant,restaurant,NA,1,NA,rp,NA
phiste,Philipp Stein,chef,2,1,deutsch,NA,1
Rsteinstraube,Steins Traube,restaurant,NA,1,NA,rp,NA
erischu,Eric Schumacher,chef,2,1,deutsch,NA,1
Rdoblers,Dobler's,restaurant,NA,1,NA,bw,NA
antsar,Anthony Sarpong,chef,2,1,ghanaisch,NA,1
Ranthonyskitchen,Anthony's Kitchen,restaurant,NA,1,NA,nw,NA
marphi,Markus Philippi,chef,2,1,deutsch,NA,1
Rcasala,Casala,restaurant,NA,1,NA,bw,NA
andhil,Andreas Hillejan,chef,2,1,deutsch,NA,1
Rdasmarktrestaurant,Das Marktrestaurant,restaurant,NA,1,NA,by,NA
margam,Mario Gamba,chef,2,1,italienisch,NA,1
Racquarello,Acquarello,restaurant,NA,1,NA,by,NA
flober,Florian Berger,chef,2,1,österreichisch,NA,1
Rgabelspiel,Gabelspiel,restaurant,NA,1,NA,by,NA
natleb,Nathalie Leblond,chef,1,1,deutsch,NA,1
Rlesdeux,Les Deux,restaurant,NA,1,NA,by,NA
martau,Marcel Tauschek,chef,2,1,deutsch,NA,1
Rmountainhubgourmet,Mountain Hub Gourmet,restaurant,NA,1,NA,by,NA
joslei,Joshua Leise,chef,2,1,deutsch,NA,1
Rmural,Mural,restaurant,NA,1,NA,by,NA
domkäp,Dominik Käppeler,chef,2,1,deutsch,NA,1
tobbac,Tobias Bacher,chef,2,1,deutsch,NA,1
Rshowroom,Showroom,restaurant,NA,1,NA,by,NA
jürwol,Jürgen Wolfsgruber,chef,2,1,österreichisch,NA,1
Rsparklingbistro,Sparkling Bistro,restaurant,NA,1,NA,by,NA
Rtantrisdna,Tantris DNA,restaurant,NA,1,NA,by,NA
sigsch,Sigrid Schelling,chef,1,1,österreichisch,NA,1
Rwerneckhofsigischelling,Werneckhof Sigi Schelling,restaurant,NA,1,NA,by,NA
harrüs,Harald Rüssel,chef,2,1,deutsch,NA,1
Rrüsselslandhaus,Rüssel's Landhaus,restaurant,NA,1,NA,rp,NA
claurr,Claudio Urru,chef,2,1,deutsch,NA,1
Raltebaiz,Alte Baiz,restaurant,NA,1,NA,bw,NA
chrdet,Christiane Detemple-Schäfer,chef,1,1,deutsch,NA,1
olisch,Oliver Schäfer,chef,2,1,deutsch,NA,1
Rletemple,Le temple,restaurant,NA,1,NA,rp,NA
tobschl,Tobias Schlimbach,chef,2,1,deutsch,NA,1
herbro,Herbert Brockel,chef,2,1,deutsch,NA,1
Rburgnideggenbrockelschlimbach,Burg Nideggen - Brockel Schlimbach,restaurant,NA,1,NA,nw,NA
thogil,Thomas Gilles,chef,2,1,deutsch,NA,1
Rclostermannslegourmet,Clostermanns Le Gourmet,restaurant,NA,1,NA,nw,NA
matach,Mathias Achatz,chef,2,1,deutsch,NA,1
Rbuchnerwelchenberg1658,Buchner Welchenberg 1658,restaurant,NA,1,NA,by,NA
markeb,Markus Kebschull,chef,2,1,deutsch,NA,1
Rseesteg,Seesteg,restaurant,NA,1,NA,ni,NA
joakai,Joachim Kaiser,chef,2,1,deutsch,NA,1
Rwirtshausmeyerskeller,Wirtshaus Meyers Keller,restaurant,NA,1,NA,by,NA
fabden,Fabian Denninger,chef,2,1,deutsch,NA,1
Rentenstuben,Entenstuben,restaurant,NA,1,NA,by,NA
felbru,Felix Bruegel,chef,2,1,deutsch,NA,1
Rkochundkellner,Koch und Kellner,restaurant,NA,1,NA,by,NA
vadkar,Vadim Karasev,chef,2,1,deutsch,NA,1
Rveles,Veles,restaurant,NA,1,NA,by,NA
valrot,Valentin Rottner,chef,2,1,deutsch,NA,1
Rwaidwerk,Waidwerk,restaurant,NA,1,NA,by,NA
stemei,Stefan Meier,chef,2,1,deutsch,NA,1
Rzweisinnmeiersfinedining,ZweiSinn Meiers | Fine Dining,restaurant,NA,1,NA,by,NA
petstr,Peter A. Strauss,chef,2,1,deutsch,NA,1
Ressatelierstrauss,Ess Atelier Strauss,restaurant,NA,1,NA,by,NA
chrwil,Christopher Wilbrand,chef,2,1,deutsch,NA,1
alewil,Alejandro Wilbrand,chef,2,1,deutsch,NA,1
Rzurpost,Zur Post,restaurant,NA,1,NA,nw,NA
flowag,Florian Wagenbach,chef,2,1,deutsch,NA,1
Rsilberdistel,Silberdistel,restaurant,NA,1,NA,by,NA
johwuh,Johannes Wuhrer,chef,2,1,deutsch,NA,1
larkei,Lars Keiling,chef,2,1,deutsch,NA,1
Rfriedrich,Friedrich,restaurant,NA,1,NA,ni,NA
ranjon,Randy de Jong,chef,2,1,niederländisch,NA,1
Rkesselhaus,Kesselhaus,restaurant,NA,1,NA,ni,NA
elmsim,Elmar Simon,chef,2,1,deutsch,NA,1
Rbalthasar,Balthasar,restaurant,NA,1,NA,nw,NA
micamm,Michael Ammon,chef,2,1,deutsch,NA,1
Rgasthausjakob,Gasthaus Jakob,restaurant,NA,1,NA,by,NA
simsch,Simon Schlachter,chef,2,1,deutsch,NA,1
Rpavoimburghotelfalkenstein,PAVO im Burghotel Falkenstein,restaurant,NA,1,NA,by,NA
vjepav,Vjekoslav Pavic,chef,2,1,kroatisch,NA,1
Rdiebrasserie,Die Brasserie,restaurant,NA,1,NA,rp,NA
alehub,Alexander Huber,chef,2,1,deutsch,NA,1
Rhuberwirt,Huberwirt,restaurant,NA,1,NA,by,NA
davsch,David Schubert,chef,2,1,deutsch,NA,1
Rkochzimmerindergaststättezurratswaage,kochZIMMER in der Gaststätte zur Ratswaage,restaurant,NA,1,NA,bb,NA
torsch,Torben Schäfer,chef,2,1,deutsch,NA,1
Rnagaya,Nagaya,restaurant,NA,1,NA,nw,NA
Rgutlärchenhof,Gut Lärchenhof,restaurant,NA,1,NA,nw,NA
holber,Holger Berens,chef,2,1,deutsch,NA,1
Rateliersanssouci,Atelier Sanssouci,restaurant,NA,1,NA,sn,NA
marlan,Marcus Langer,chef,2,1,deutsch,NA,1
steher,Stefan Hermann,chef,2,1,deutsch,NA,1
Rlandhausfeckl,Landhaus Feckl,restaurant,NA,1,NA,bw,NA
antsch,Anton Schmaus,chef,2,2,deutsch,NA,1
atssug,Atsushi Sugimoto,chef,2,1,japanisch,NA,1
Rstorstad,Storstad,restaurant,NA,1,NA,by,NA
Rroterhahn,Roter Hahn,restaurant,NA,1,NA,by,NA
maxsch,Maximilian Schmidt,chef,2,1,deutsch,NA,1
joswei,Josef Weig,chef,2,1,deutsch,NA,1
Rreuter,Reuter,restaurant,NA,1,NA,nw,NA
iribet,Iris Bettinger,chef,1,1,deutsch,NA,1
Rgourmetrestaurantderbutt,Gourmet-Restaurant Der Butt,restaurant,NA,1,NA,mv,NA
thohei,Thomas Heimann,chef,2,1,deutsch,NA,1
Rgutshausstolpe,Gutshaus Stolpe,restaurant,NA,1,NA,nw,NA
holstr,Holger Stromberg,chef,2,1,deutsch,NA,1
Rhaubentaucher,Haubentaucher,restaurant,NA,1,NA,by,NA
aloneu,Alois Neuschmid,chef,2,2,österreichisch,NA,1
Rfreustil,freustil,restaurant,NA,1,NA,mv,NA
ralhau,Ralf Haug,chef,2,2,deutsch,NA,1
Rgenussapotheke,Genuss-Apotheke,restaurant,NA,1,NA,bw,NA
raipil,Raimar Pilz,chef,2,1,deutsch,NA,1
Rgourmetrestaurantfinediningrs,"Gourmetrestaurant ""fine dining RS""",restaurant,NA,1,NA,bw,NA
marwai,Markus Waibel,chef,2,1,deutsch,NA,1
rolstr,Rolf Straubinger,chef,2,1,deutsch,NA,1
Rkunzgourmet,Kunz Gourmet,restaurant,NA,1,NA,sl,NA
alekun,Alexander Kunz,chef,2,1,deutsch,NA,1
patjen,Patrick Jenal,chef,2,1,deutsch,NA,1
Rdiva,DiVa,restaurant,NA,1,NA,sh,NA
gunehi,Gunter Ehinger,chef,2,2,deutsch,NA,1
Rschwarzerhahn,Schwarzer Hahn,restaurant,NA,1,NA,rp,NA
hanste,Hans-Paul Steiner,chef,2,2,deutsch,NA,1
Rcarrousel,Carrousel,restaurant,NA,1,NA,sn,NA
Roberländerweinstube,Oberländer Weinstube,restaurant,NA,1,NA,bw,NA
robhau,Robert Hauptvogel,chef,2,1,deutsch,NA,1
Rjuwel,JUWEL,restaurant,NA,1,NA,sn,NA
Rhofstube,Hofstube,restaurant,NA,1,NA,nw,NA
felweb,Felix Weber,chef,2,3,deutsch,NA,1
Rgourmetrestaurantnicoburkhardt,Gourmetrestaurant Nico Burkhardt,restaurant,NA,1,NA,bw,NA
nicbur,Nico Burkhardt,chef,2,2,deutsch,NA,1
karhau,Karlheinz Hauser,chef,2,1,deutsch,NA,1
joswol,Josef Wolf,chef,2,1,deutsch,NA,1
Reisenbahn,Eisenbahn,restaurant,NA,1,NA,bw,NA
Rreberspflug,Rebers Pflug,restaurant,NA,1,NA,bw,NA
vinkli,Vincent Klink,chef,2,1,deutsch,NA,1
hanreb,Hans-Harald Reber,chef,2,1,deutsch,NA,1
berdie,Bernhard Diers,chef,2,1,deutsch,NA,1
sebkau,Sebastian Kauper,chef,2,1,deutsch,NA,1
Rkaupersrestaurantimkapellenhof,Kaupers Restaurant im Kapellenhof,restaurant,NA,1,NA,rp,NA
juaama,Juan Amador,chef,2,3,deutsch,NA,1
Ramador,Amador,restaurant,NA,3,NA,he,NA
Rjungborn,Jungborn,restaurant,NA,1,NA,rp,NA
phihel,Philipp Helzle,chef,2,1,deutsch,NA,1
Rphilipp,Philipp,restaurant,NA,1,NA,by,NA
micphi,Michael Philipp,chef,2,1,deutsch,NA,NA
frisch,Fritz Schilling,chef,2,2,deutsch,NA,NA
gerwin,Gerd Windhösel,chef,2,2,deutsch,NA,1
Rhirsch,Hirsch,restaurant,NA,2,NA,bw,NA
Raubergine,Aubergine,restaurant,NA,1,NA,by,NA
maxmos,Maximilian Moser,chef,2,1,deutsch,NA,1
Rfünf,5 (Fünf),restaurant,NA,1,NA,bw,NA
aledin,Alexander Dinter,chef,2,1,deutsch,NA,1
Rdelice,Délice,restaurant,NA,1,NA,bw,NA
andhet,Andreas Hettinger,chef,2,1,deutsch,NA,1
Rderzauberlehrling,Der Zauberlehrling,restaurant,NA,1,NA,bw,NA
fabhel,Fabian Heldmann,chef,2,1,deutsch,NA,1
michup,Michael Huppert,chef,2,1,deutsch,NA,1
Rhupperts,Hupperts,restaurant,NA,1,NA,bw,NA
benben,Ben Benasr,chef,2,1,tunesisch,NA,1
Rritzigourmet,Ritzi Gourmet,restaurant,NA,1,NA,bw,NA
micoet,Michael Oettinger,chef,2,1,deutsch,NA,1
Roettingersrestaurant,Oettinger's Restaurant,restaurant,NA,1,NA,bw,NA
