from,to,relationship,time,end
chrbau,denfei,2,2001,2001
harbor,Rborst,3,NA,NA
maxbor,Rborst,3,NA,NA
harbor,Rborst,5,NA,NA
maxbor,Rschwarzwaldstube,6,NA,NA
maxbor,Rgästehausklauserfort,6,NA,NA
klaerf,maxbor,2,NA,NA
tormic,maxbor,2,NA,NA
danbod,Rbrothers,3,2022,x
danbod,Rfalconera,6,2012,2013
johwuh,danbod,2,2012,2013
danbod,Rgästehausklauserfort,6,2013,2014
klaerf,danbod,2,2013,2014
danbod,Ratelier,6,2014,2017
janhar,danbod,2,2014,2017
danbod,Rschwarzwaldstube,6,2017,2019
tormic,danbod,2,2017,2019
danbod,Rtantris,3,2021,2022
maxhub,Rmuralfarmhouse,3,2023,x
laukux,Rbok,3,2022,x
laukux,Rjellyfish,6,2014,2019
stefät,laukux,2,2019,2019
karspi,Rspitzner,3,NA,NA
renste,Rtisane,3,2022,x
renste,Rschwarzeradler,6,2016,2019
domwac,Rwachterfoodbar,3,2022,x
domwac,Rwachterfoodbar,5,2022,x
julrei,Resszimmerimoberschwäbischenhof,3,NA,x
julrei,Resszimmerimoberschwäbischenhof,5,NA,x
julrei,Rschwarzwaldstube,6,NA,NA
tormic,julrei,2,NA,NA
julrei,Rsölringhof,6,NA,NA
johkin,julrei,2,NA,NA
janber,julrei,2,NA,NA
danmäs,Rhegeleins,3,2019,x
gersch,Rbagatelle,3,2020,x
gersch,Rbodendorfs,6,2011,2014
holbod,gersch,2,2011,2014
gersch,Rvictorsfinediningbychristianbau,6,2014,2020
chrbau,gersch,2,2014,2020
alimei,Rbibraud,3,2014,x
alimei,Rbibraud,5,2014,x
alimei,Raqua,6,NA,NA
sveelv,alimei,2,NA,NA
benpfe,Rintense,3,2017,x
benpfe,Rgästehausklauserfort,6,NA,NA
klaerf,benpfe,2,NA,NA
maraku,Rmarkos,3,2021,x
maraku,Rmarkos,5,2021,x
domale,Rgasthofalex,3,2021,x
Rvictorsfinedinigbychristianbau,domale,4,2015,2017
chrbau,domale,1,2015,2017
Rlecerf,domale,4,2018,2020
nikber,Rbonvivant,3,2021,x
andsch,Rlabecasse,3,NA,x
maxkre,Rsanktbenedikt,3,2011,x
Rimschiffchen,maxkre,4,NA,x
jeabou,maxkre,1,NA,x
Rvictorsfinedinigbychristianbau,maxkre,4,NA,x
chrbau,maxkre,1,NA,x
chrmar,Rschattbuch,3,NA,x
maxspe,Rschwabenstube,3,2017,x
Rsoulfood,miclau,3,2012,x
Rsoulfood,chrheß,3,2012,x
benmit,Ralteliebe,3,2019,x
simlan,Rsartory,3,2016,x
Rbodendorfs,simlan,6,2004,2004
holbod,simlan,2,2004,2004
steber,Rlejardindefrance,3,1998,x
