from,to,relationship,time,end
maxhub,Rmuralfarmhouse,3,2023,9999
laukux,Rbok,3,2022,9999
laukux,Rjellyfish,6,2014,2019
stefät,laukux,2,2019,2019
karspi,Rspitzner,3,99,99
renste,Rtisane,3,2022,9999
renste,Rschwarzeradler,6,2016,2019
domwac,Rwachterfoodbar,3,2022,9999
domwac,Rwachterfoodbar,5,2022,9999
julrei,Resszimmerimoberschwäbischenhof,3,99,9999
julrei,Resszimmerimoberschwäbischenhof,5,99,9999
julrei,Rschwarzwaldstube,6,99,99
tormic,julrei,2,99,99
julrei,Rsölringhof,6,99,99
johkin,julrei,2,99,99
janber,julrei,2,99,99
danmäs,Rhegeleins,3,2019,9999
gersch,Rbagatelle,3,2020,9999
gersch,Rbodendorfs,6,2011,2014
holbod,gersch,2,2011,2014
gersch,Rvictorsfinediningbychristianbau,6,2014,2020
chrbau,gersch,2,2014,2020
alimei,Rbibraud,3,2014,9999
alimei,Rbibraud,5,2014,9999
alimei,Raqua,6,99,99
sveelv,alimei,2,99,99
benpfe,Rintense,3,2017,9999
benpfe,Rgästehausklauserfort,6,99,99
klaerf,benpfe,2,99,99
maraku,Rmarkos,3,2021,9999
maraku,Rmarkos,5,2021,9999
domale,Rgasthofalex,3,2021,9999
Rvictorsfinediningbychristianbau,domale,4,2015,2017
chrbau,domale,1,2015,2017
Rlecerf,domale,4,2018,2020
nikber,Rbonvivant,3,2021,9999
andsch,Rlabecasse,3,99,9999
maxkre,Rsanktbenedikt,3,2011,9999
Rimschiffchen,maxkre,4,99,9999
jeabou,maxkre,1,99,9999
Rvictorsfinediningbychristianbau,maxkre,4,99,9999
chrbau,maxkre,1,99,9999
chrmar,Rschattbuch,3,99,9999
maxspe,Rschwabenstube,3,2017,9999
Rsoulfood,miclau,3,2012,9999
Rsoulfood,chrheß,3,2012,9999
benmit,Ralteliebe,3,2019,9999
simlan,Rsartory,3,2016,9999
Rbodendorfs,simlan,6,2004,2004
holbod,simlan,2,2004,2004
steber,Rlejardindefrance,3,1998,9999
malkuh,Rmalteshiddenkitchen,3,2018,9999
stedis,Rgasthauszumraben,5,2005,9999
stedis,Rgasthauszumraben,3,2005,9999
Rgasthauszumraben,malkuh,6,99,99
Rlepavillon,malkuh,4,2011,2013
marher,malkuh,1,2011,2013
Rrestaurantüberfahrtchristianjürgens,malkuh,6,99,99
flosto,Rschwarzwaldstube,6,2006,2008
flosto,R1789,3,2020,9999
Rschwarzwaldstube,jörsac,4,1977,1982
harwoh,jörsac,1,1977,1982
jörsac,Raubergine,6,1986,1988
jörsac,Rschlossberg,3,1993,9999
harwoh,nicsac,1,99,99
Rschwarzwaldstube,nicsac,4,99,99
nicsac,Rlandhausfeckl,6,99,99
nicsac,Rschlossberg,3,99,99
frafec,nicsac,2,99,99
Rvendome,nicsac,6,99,99
joawis,nicsac,2,99,99
ulrhei,Rpur,3,2020,99
andsau,Rbandolsurmer,3,2018,99
Rrutz,andsau,6,2004,2010
marmül,andsau,2,2004,2010
stepgar,Rbieberbau,5,99,99
jeamat,Rbieberbau,3,99,99
stezei,Rbricole,3,99,99
nichah,Rcookiescream,3,2023,9999
yansto,Rcordo,3,2018,9999
Rhaerlin,yansto,6,99,99
chrrüf,yansto,2,99,99
Raqua,yansto,6,99,99
sveelv,yansto,2,99,99
dylwat,Rernst,3,99,99
bjosaw,Rfaelt,3,2020,9999
Rrutz,bjosaw,6,99,99
marmül,bjosaw,2,99,99
Rfacil,bjosaw,6,99,99
mickem,bjosaw,2,99,99
joager,bjosaw,2,99,99
Rgutshausstolpe,bjosaw,6,99,99
chrsom,bjosaw,2,99,99
Rgolvet,bjosaw,6,99,99
jonzoe,bjosaw,2,99,99
janrze,Rfaelt,3,2023,9999
Rcookiescream,janrze,6,2019,99
nichah,janrze,2,2019,99
jonzoe,Rgolvet,3,2018,9999
Rfacil,jonzoe,4,2013,2015
mickem,jonzoe,1,2013,2015
ebelan,Rhugos,3,2015,9999
Rlorenzadlonesszimmer,ebelan,4,99,99
Rirmaladouce,fracon,3,99,99
micschä,Rnobelhartundschmutzig,3,99,99
micschä,Rrestaurantvillamerton,6,99,99
micschä,phigia,3,99,99
galmos,Rprism,3,99,99
fracon,Rrichard,3,99,99
saskur,Rskykitchen,3,99,99
Rlorenzadlonesszimmer,saskur,6,99,99
Rvendome,saskur,6,99,99
joawis,saskur,2,99,99
Rtuluslotrek,maxstr,3,2015,9999
benmae,Rmaerz,5,2010,9999
clihae,Rhämmerlesrestaurantbarrique,3,1993,9999
raihal,Rhalbedelsgasthaus,3,99,99
chrstu,Ryunico,3,2011,9999
marren,Rsterneck,3,2012,9999
Rmaintowerrestaurantundlounge,marren,6,2002,2005
marweg,marren,2,2002,2005
davrin,Rox,3,2019,9999
flokuc,Rkuchersgourmet,3,99,99
